No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,,,,
0,2018/4/20,1,新城市广场,1,9:52,10:18,四川省成都市青羊区新城市广场,104.057651,30.67383,
1,2018/4/20,1,太成喜维#,1,10:11,10:18,,,,
2,2018/4/20,1,欢朋酒店,2,11:03,11:14,四川省成都市武侯区欢朋酒店,103.994865,30.649418,
3,2018/4/20,1,西岸帝景,3,11:13,11:39,四川省成都市青羊区西岸帝景,104.054866,30.673699,
4,2018/4/20,1,金融城,,,,四川省成都市武侯区金融城,104.064147,30.582579,
5,2018/4/20,1,七天连锁酒店,4,12:40,12:55,四川省成都市成华区七天连锁酒店,104.096381,30.703774,
6,2018/4/20,1,禾##,4,12:31,12:55,,,,
7,2018/4/20,4,#丹酒店,5,13:18,13:46,,,,
8,2018/4/20,2,中心世茂,6,14:00,14:30,四川省成都市锦江区中心,104.08476,30.588966,
9,2018/4/20,2,欢朋酒店,7,14:47,14:59,四川省成都市武侯区欢朋酒店,103.994865,30.649418,
10,2018/4/20,1,肖家河北街,8,15:48,15:59,四川省成都市武侯区肖家河北街,104.042849,30.633738,
11,2018/4/20,1,车站,9,16:55,17:05,四川省成都市都江堰市车站,103.646465,30.847654,
12,2018/4/20,2,华西国际,10,17:16,17:36,四川省成都市武侯区华西国际,104.058951,30.643685,
13,2018/4/20,4,首座万丽,11,17:29,17:58,四川省成都市武侯区成都首座万丽酒店,104.066565,30.612248,
14,2018/4/20,1,何#酒店,12,17:48,18:12,,,,
15,2018/4/20,2,新品汉庭酒店,13,19:58,20:23,四川省成都市金牛区汉庭快捷酒店,104.019428,30.689388,
16,2018/4/20,2,主题城市,14,20:03,20:23,,,,
17,2018/4/20,1,天林会所#,13,20:03,20:23,,,,
18,2018/4/20,1,安逸酒店,14,20:18,20:23,四川省成都市锦江区安逸酒店,104.077778,30.654769,
19,2018/4/20,1,汉庭酒店,15,20:47,21:07,四川省成都市崇州市汉庭酒店,103.696142,30.63542,
20,2018/4/20,1,#菲尔国际酒店,15,20:49,21:07,,,,
21,2018/4/20,1,天晴国际青年客栈,16,20:57,21:20,四川省成都市青羊区天晴国际青年客栈,104.042952,30.654906,
22,2018/4/20,1,#望江##,16,21:10,21:20,,,,
23,2018/4/20,1,成都东站东广场,17,21:22,21:46,四川省成都市成华区成都东站东广场,104.143974,30.628064,
24,2018/4/20,1,##酒店,17,21:34,21:46,,,,
25,2018/4/20,1,万友睿柏,18,21:44,22:11,,,,
26,2018/4/20,2,金茂光明,19,21:46,22:12,四川省成都市双流区金茂光明,104.047073,30.527701,
27,2018/4/20,1,紫竹苑,18,21:54,22:11,四川省成都市武侯区紫竹苑,104.05252,30.615756,
28,2018/4/20,1,cpe大楼,19,22:02,22:12,四川省成都市武侯区cpe大楼,104.067368,30.545046,
29,2018/4/20,2,轩雅映月,20,22:02,22:29,四川省成都市锦江区轩雅映月,104.07553,30.652681,
30,2018/4/20,1,新额直选,20,22:07,22:29,,,,
31,2018/4/20,4,宽窄巷子,21,22:03,22:13,四川省成都市青羊区宽窄巷子,104.053617,30.663833,
32,2018/4/20,1,金河宾馆,20,22:20,22:29,四川省成都市青羊区金河宾馆,104.056091,30.661776,
33,2018/4/20,4,如家快捷,22,22:19,22:39,四川省成都市青羊区如家快捷,104.068134,30.673802,
34,2018/4/20,2,芙蓉饭店,23,22:19,22:41,四川省成都市青羊区芙蓉饭店,104.058902,30.670086,
35,2018/4/20,2,科甲大厦,23,22:29,22:41,四川省成都市锦江区科甲大厦,104.079342,30.656251,
36,2018/4/20,1,尚锦和美,24,22:44,23:06,四川省成都市武侯区尚锦和美,104.049406,30.641957,
37,2018/4/20,1,高新实验,24,22:50,23:06,四川省成都市武侯区高新实验,104.047064,30.618389,
38,2018/4/20,1,铂雅酒店,24,22:54,23:06,四川省成都市武侯区铂雅酒店,104.05375,30.551,
39,2018/4/20,1,金科一城,24,22:56,23:06,四川省成都市成华区金科一城,104.111817,30.711406,
40,2018/4/20,1,一号线,25,23:01,23:25,,,,
41,2018/4/20,1,中国工商,25,23:07,23:25,,,,
42,2018/4/20,2,影茂城果,26,23:06,23:25,,,,
43,2018/4/20,1,丽景华庭,27,23:13,23:36,四川省成都市武侯区丽景华庭,104.015689,30.651247,
44,2018/4/20,4,世纪城,28,23:24,23:36,四川省成都市武侯区世纪城,104.071362,30.556128,
45,2018/4/20,2,#尊精品,29,23:33,23:46,,,,
46,2018/4/20,1,成都花园,30,23:44,0:08,四川省成都市青羊区成都花园,104.011714,30.655637,
47,2018/4/20,1,南苑B区,31,23:46,0:11,,,,
48,2018/4/20,2,王尚欣酒店#,30,0:03,0:08,,,,
49,2018/4/20,1,七天主题,32,0:03,0:12,,,,
50,2018/4/20,1,智慧康城,33,0:08,0:25,四川省成都市金牛区智慧康城,104.046605,30.709158,
51,2018/4/20,2,桔子精选,33,0:11,0:25,,,,
52,2018/4/20,1,百世酒店,33,0:18,0:25,四川省成都市锦江区百世酒店,104.086735,30.651399,
53,2018/4/20,1,华润幸福园,34,0:20,0:43,四川省成都市武侯区华润,104.052517,30.55202,
54,2018/4/20,1,锦江之星,34,0:30,0:43,四川省成都市锦江区锦江之星,104.090117,30.652435,
55,2018/4/20,1,艺家风格,35,0:25,0:48,四川省成都市金牛区艺家风格酒店,104.011298,30.695041,
56,2018/4/20,1,华林男苑,36,0:42,1:09,四川省成都市成华区华林,104.139711,30.682804,
57,2018/4/20,1,东方广场,36,0:46,1:09,四川省成都市锦江区东方广场,104.090021,30.647671,
58,2018/4/20,1,社会科学,36,0:46,1:09,,,,
59,2018/4/20,1,菲索斯,37,0:52,1:10,,,,
60,2018/4/20,1,如家精选,37,0:49,1:10,四川省成都市武侯区如家精选,104.074994,30.642407,
61,2018/4/20,1,西门东站,37,0:49,1:10,四川省成都市武侯区东站,104.005989,30.651649,
62,2018/4/20,1,现代城,38,1:11,1:26,四川省成都市青羊区现代城,104.048827,30.652994,
63,2018/4/20,1,圣##,39,1:17,1:31,,,,
64,2018/4/20,1,桔子酒店,39,1:22,1:31,四川省成都市郫都区桔子酒店,103.948545,30.781394,
65,2018/4/20,1,清溪西路,39,1:21,1:31,四川省成都市青羊区清溪西路,104.022406,30.678537,
