a,b,c,latlng,e,f
123,9:52,10:18,"104.057651,30.67383",7,0:00
1,10:11,10:18,"104.053237,30.646505",6,0:00
2,11:03,11:14,"103.994865,30.649418",5,0:00
3,11:13,11:39,"104.053962,30.674086",4,0:00
4,12:40,12:55,"104.078304,30.657437",3,0:00
5,12:31,12:55,"104.084367,30.696078",2,0:00
6,13:18,13:46,"104.01362,30.64666",1,0:00
7,14:00,14:30,"104.07665,30.65986",2,0:00
8,14:47,14:59,"104.05283,30.68131",2,0:00
9,15:48,15:59,"104.042849,30.633738",2,0:00
10,16:55,17:05,"104.141625,30.62886",2,0:00
11,17:16,17:36,"104.058951,30.643685",2,0:00
12,17:29,17:58,"104.066565,30.612248",1,0:00
13,17:48,18:12,"104.06642,30.624537",2,0:00
14,19:58,20:23,"104.06962,30.66015",2,0:00
15,20:03,20:23,"104.002619,30.653294",2,0:00
16,20:03,20:23,"104.060474,30.62651",2,0:00
17,20:18,20:23,"104.077778,30.654769",2,0:00
18,20:47,21:07,"104.053891,30.66818",2,0:00
19,20:49,21:07,"104.027287,30.632327",2,0:00
20,20:57,21:20,"104.042952,30.654906",2,0:00
21,21:10,21:20,"104.091832,30.622495",2,0:00
22,21:22,21:46,"104.143974,30.628064",2,0:00
23,21:34,21:46,"104.065751,30.657453",2,0:00
24,21:44,22:11,"104.10337,30.60094",1,0:00
25,21:46,22:12,"104.046359,30.527427",1,0:00
26,21:54,22:11,"104.05252,30.615756",1,0:00
27,22:02,22:12,"104.067368,30.545046",1,0:00
28,22:02,22:29,"104.07553,30.652681",2,0:00
29,22:07,22:29,"104.029866,30.636913",2,0:00
30,22:03,22:13,"104.053617,30.663833",2,0:00
31,22:20,22:29,"104.056091,30.661776",2,0:00
32,22:19,22:39,"104.07773,30.656547",2,0:00
33,22:19,22:41,"104.058902,30.670086",2,0:00
34,22:29,22:41,"104.079342,30.656251",2,0:00
35,22:44,23:06,"104.08493,30.651925",2,0:00
36,22:50,23:06,"104.038652,30.603918",1,0:00
37,22:54,23:06,"104.103951,30.713386",2,0:00
38,22:56,23:06,"104.111817,30.711406",2,0:00
39,23:01,23:25,"104.073972,30.695568",2,0:00
40,23:07,23:25,"104.071246,30.591621",1,0:00
41,23:06,23:25,"104.06927,30.52827",1,0:00
42,23:13,23:36,"104.015689,30.651247",2,0:00
43,23:24,23:36,"104.071362,30.556128",1,0:00
44,23:33,23:46,"104.06899,30.66576",2,0:00
45,23:44,0:08,"104.011714,30.655637",2,0:00
46,23:46,0:11,"104.05696,30.57472",1,0:00
47,0:03,0:08,"104.052029,30.675318",2,0:00
48,0:03,0:12,"104.14078,30.62881",2,0:00
49,0:08,0:25,"104.046605,30.709158",2,0:00
