a,b,c,latlng,e,f
50,0:11,0:25,"104.072594,30.666769",2,0:00
51,0:18,0:25,"104.086735,30.651399",2,0:00
52,0:20,0:43,"104.119337,30.610139",1,0:00
53,0:30,0:43,"104.052196,30.67722",2,0:00
54,0:25,0:48,"104.011298,30.695041",2,0:00
55,0:42,1:09,"104.139872,30.682812",2,0:00
56,0:46,1:09,"104.090021,30.647671",2,0:00
57,0:46,1:09,"104.041584,30.653032",2,0:00
58,0:52,1:10,"104.045867,30.673148",2,0:00
59,0:49,1:10,"104.083726,30.653334",2,0:00
60,0:49,1:10,"104.0433,30.684417",2,0:00
61,1:11,1:26,"104.048827,30.652994",2,0:00
62,1:17,1:31,"104.015558,30.642351",2,0:00
63,1:22,1:31,"104.086167,30.654578",2,0:00
64,1:21,1:31,"104.022406,30.678537",2,0:00
65,1:22,1:31,"104.02472,30.62919",2,0:00
66,1:23,1:31,"104.03712,30.63956",2,0:00
67,1:30,1:47,"104.019548,30.694275",2,0:00
68,1:28,1:50,"104.078036,30.65792",2,0:00
69,1:36,1:46,"104.08652,30.66134",2,0:00
70,1:32,1:46,"104.072553,30.670975",2,0:00
71,1:34,1:58,"104.051227,30.53137",1,0:00
72,1:38,1:57,"104.06353,30.62944",2,0:00
73,1:50,2:04,"104.108307,30.622849",2,0:00
74,1:54,2:04,"104.077368,30.633977",2,0:00
75,1:46,2:04,"104.141625,30.62886",2,0:00
76,2:07,2:20,"104.101906,30.663195",2,0:00
77,2:07,2:29,"104.0052,30.627283",2,0:00
78,2:13,2:40,"104.042138,30.684551",2,0:00
79,2:17,2:40,"104.058616,30.539705",1,0:00
80,2:19,2:29,"104.085828,30.607707",1,0:00
81,2:19,2:39,"104.02472,30.62919",2,0:00
82,2:23,2:39,"104.027434,30.697177",2,0:00
83,2:25,2:39,"104.053627,30.612278",1,0:00
84,2:40,3:05,"104.14078,30.62881",2,0:00
85,2:40,3:05,"104.106125,30.686346",2,0:00
86,2:51,3:04,"104.048143,30.666185",2,0:00
87,3:03,,"104.048658,30.64542",2,2
88,3:04,,"104.000441,30.674786",2,2
89,3:01,,"104.067413,30.643081",2,2
90,3:10,,"104.090515,30.693499",2,2
91,9:47,10:03,"104.068868,30.586267",1,0:00
92,10:03,10:15,"104.11275,30.6355",2,0:00
93,10:40,11:06,"104.063392,30.568751",1,0:00
94,11:12,11:32,"104.111194,30.646022",2,0:00
95,11:27,11:32,"104.05983,30.675714",2,0:00
96,11:47,12:19,"104.09588,30.60427",1,0:00
97,12:48,13:07,"104.068665,30.653902",2,0:00
98,13:16,13:28,"104.06972,30.66629",2,0:00
99,13:31,13:56,"104.04314,30.66856",2,0:00
100,14:26,14:49,"104.078328,30.655385",2,0:00
101,15:51,16:15,"104.071335,30.669462",2,0:00
102,15:56,16:15,"104.048882,30.66893",2,0:00
103,15:56,16:15,"104.048882,30.66893",2,0:00
104,17:32,17:49,"104.049882,30.647148",2,0:00
105,18:14,18:37,"104.06613,30.54345",1,0:00
106,18:50,19:15,"104.104144,30.668813",2,0:00
107,19:24,19:36,"104.065848,30.684508",2,0:00
108,20:10,20:36,"104.104019,30.660452",2,0:00
109,20:18,20:39,"104.017316,30.692503",2,0:00
110,20:30,20:56,"104.066272,30.547026",1,0:00
111,20:39,21:24,"104.050862,30.528037",1,0:00
112,21:10,21:28,"104.10468,30.61234",1,0:00
113,21:27,21:28,"104.079355,30.613172",1,0:00
114,21:26,21:49,"104.056079,30.672683",2,0:00
115,21:39,21:49,"104.064678,30.648456",2,0:00
116,21:49,22:15,"104.075832,30.645017",2,0:00
117,21:53,22:15,"104.011355,30.69054",2,0:00
118,21:52,22:15,"104.140903,30.622395",2,0:00
119,22:02,22:15,"104.092316,30.643276",2,0:00
120,22:59,23:14,"104.053006,30.698733",2,0:00
121,23:04,23:31,"104.02455,30.65046",2,0:00
122,23:17,23:31,"104.043296,30.616511",1,0:00
123,23:17,23:39,"104.126436,30.617672",1,0:00
124,23:41,0:04,"104.085486,30.629794",2,0:00
125,23:53,0:04,"104.094935,30.62383",2,0:00
126,23:55,0:17,"104.028448,30.637489",2,0:00
127,23:57,0:17,"104.02455,30.65046",2,0:00
128,0:03,0:18,"104.085958,30.694096",2,0:00
129,0:03,0:18,"104.092627,30.643162",2,0:00
130,0:03,0:18,"104.092627,30.643162",2,0:00
131,0:10,0:17,"104.055037,30.672764",2,0:00
132,0:12,0:18,"104.073403,30.696772",2,0:00
133,0:22,0:39,"104.018008,30.620858",2,0:00
134,0:24,0:44,"104.068142,30.549534",1,0:00
135,0:25,,"104.063117,30.568738",1,1
136,0:25,0:39,"104.027704,30.687387",2,0:00
137,0:46,1:08,"104.032356,30.675341",2,0:00
138,0:50,1:28,"104.052431,30.665589",2,0:00
139,1:16,1:37,"104.015716,30.653256",2,0:00
140,1:17,1:35,"104.07553,30.652681",2,0:00
141,1:21,1:37,"104.074221,30.703386",2,0:00
142,1:26,1:35,"104.082825,30.672475",2,0:00
143,1:27,1:35,"104.086725,30.66449",2,0:00
144,1:38,2:04,"104.020704,30.671691",2,0:00
145,1:44,2:05,"104.073403,30.696772",2,0:00
146,1:47,2:04,"104.013507,30.633525",2,0:00
147,1:49,2:05,"104.076291,30.654189",2,0:00
148,2:13,2:37,"104.092476,30.643636",2,0:00
149,2:28,2:37,"104.080588,30.696709",2,0:00
150,2:43,,"104.14103,30.61157",1,1
151,2:46,,"104.077502,30.665291",2,2
152,2:49,,"104.045195,30.534372",1,1
153,2:51,,"104.031433,30.683886",2,2
154,9:25,9:38,"104.067413,30.643081",2,0:00
155,10:47,10:59,"104.057933,30.666936",2,0:00
156,9:52,10:19,"104.06585,30.657361",2,0:00
157,10:38,10:59,"104.035609,30.642981",2,0:00
158,11:29,11:55,"104.076712,30.636895",2,0:00
159,13:39,13:59,"104.07217,30.66396",2,0:00
161,14:52,15:09,"104.11787,30.646741",2,0:00
162,14:08,14:31,"104.102977,30.612111",1,0:00
163,15:45,16:04,"104.07163,30.55617",1,0:00
164,16:38,17:04,"104.068675,30.52775",1,0:00
165,17:07,17:17,"104.085486,30.629794",2,0:00
166,16:57,17:17,"104.05705,30.67429",2,0:00
167,17:47,17:58,"104.073378,30.703406",2,0:00
168,18:00,18:26,"104.083736,30.652685",2,0:00
169,18:10,17:26,"104.079089,30.610808",1,0:00
170,19:23,19:33,"104.027023,30.623089",2,0:00
171,19:45,20:01,"104.034164,30.666598",2,0:00
172,19:48,20:01,"104.063073,30.638876",2,0:00
173,19:46,20:01,"104.038291,30.655295",2,0:00
174,19:45,20:01,"104.093238,30.63845",2,0:00
175,19:48,20:00,"104.069811,30.554829",1,0:00
176,20:48,21:10,"104.09826,30.62411",2,0:00
177,20:52,21:10,"104.053746,30.557",1,0:00
178,21:30,21:57,"104.00132,30.6562",2,0:00
179,21:30,21:57,"104.066541,30.572269",1,0:00
180,21:32,21:57,"104.05955,30.658011",2,0:00
181,21:37,21:57,"104.082429,30.650054",2,0:00
182,21:54,22:20,"104.068498,30.706548",2,0:00
183,22:14,22:20,"104.080583,30.660542",2,0:00
184,22:19,22:33,"104.076975,30.681597",2,0:00
185,22:19,21:33,"104.083726,30.653334",2,0:00
186,22:36,23:04,"104.007164,30.696085",2,0:00
187,22:54,23:04,"104.080489,30.642166",2,0:00
188,22:51,23:14,"104.053193,30.554916",1,0:00
189,23:05,23:29,"104.073225,30.710726",2,0:00
190,23:08,23:29,"104.096109,30.62504",2,0:00
191,23:07,23:29,"104.085582,30.651219",2,0:00
192,23:16,23:42,"104.048191,30.526502",1,0:00
193,23:24,23:38,"104.106853,30.71699",2,0:00
194,23:24,23:43,"104.056045,30.604285",1,0:00
195,23:31,23:59,"104.057467,30.584514",1,0:00
196,23:37,0:00,"104.074022,30.665473",2,0:00
197,23:46,23:59,"103.990469,30.673707",2,0:00
198,0:01,0:29,"104.08042,30.603156",1,0:00
199,0:15,0:29,"104.059318,30.60551",1,0:00
200,0:18,0:29,"104.055026,30.654181",2,0:00
201,0:20,0:34,"104.086589,30.652515",2,0:00
202,0:18,0:42,"104.078517,30.546662",1,0:00
203,0:23,0:42,"104.093307,30.670317",2,0:00
204,0:27,0:42,"104.141625,30.62886",2,0:00
205,0:38,0:42,"104.07773,30.656547",2,0:00
206,0:48,1:04,"104.103625,30.644821",2,0:00
207,0:47,1:04,"104.104772,30.661888",2,0:00
208,1:00,1:21,"104.048806,30.682107",2,0:00
209,0:55,1:04,"104.060234,30.65363",2,0:00
210,1:06,1:21,"104.079936,30.618148",1,0:00
211,1:10,1:21,"104.07732,30.72012",2,0:00
212,1:15,1:21,"104.04642,30.65154",2,0:00
213,1:29,1:55,"104.0688,30.67258",2,0:00
214,1:43,1:55,"104.084775,30.648527",2,0:00
215,1:46,2:11,"104.082383,30.669806",2,0:00
216,1:46,2:11,"104.042952,30.654906",2,0:00
217,1:49,2:12,"104.047631,30.543532",1,0:00
218,1:55,2:11,"104.02255,30.68526",2,0:00
219,2:02,2:12,"104.045238,30.545978",1,0:00
220,2:09,2:37,"103.993341,30.649394",2,0:00
221,2:15,2:42,"104.059342,30.529583",1,0:00
222,2:27,2:42,"104.046359,30.527427",1,0:00
223,2:31,2:56,"104.127702,30.618035",1,0:00
224,2:25,2:37,"104.007633,30.677631",2,0:00
225,2:58,,"104.069651,30.627803",2,2
226,9:10,9:35,"104.108368,30.601135",1,0:00
227,10:10,10:20,"104.074994,30.642407",2,0:00
228,10:17,10:40,"104.07948,30.652544",2,0:00
229,10:51,11:15,"104.052196,30.67722",2,0:00
230,10:57,11:15,"104.08493,30.651925",2,0:00
231,10:57,11:15,"104.08493,30.651925",2,0:00
232,11:41,12:03,"104.068464,30.605893",1,0:00
233,12:40,13:04,"104.061731,30.647914",2,0:00
234,14:36,14:44,"104.066453,30.664926",2,0:00
235,14:37,14:44,"104.071362,30.556128",1,0:00
236,16:18,16:29,"104.048882,30.66893",2,0:00
237,16:19,16:29,"104.072594,30.666769",2,0:00
238,16:22,16:29,"104.046359,30.527427",1,0:00
239,17:23,17:49,"104.073978,30.541532",1,0:00
240,18:12,18:18,"104.056109,30.65043",2,0:00
241,17:56,18:18,"104.042722,30.686107",2,0:00
242,18:23,18:33,"104.047623,30.643929",2,0:00
243,19:11,19:30,"104.12791,30.68393",2,0:00
244,19:44,19:56,"104.05589,30.65069",2,0:00
245,20:17,20:41,"104.049297,30.636317",2,0:00
246,20:23,20:41,"104.050054,30.592569",1,0:00
247,20:31,20:57,"104.052363,30.58677",1,0:00
248,20:39,20:58,"104.103546,30.712563",2,0:00
249,20:37,20:58,"104.013692,30.705986",2,0:00
250,21:02,21:24,"104.089047,30.655837",2,0:00
251,21:26,21:48,"104.038171,30.635983",2,0:00
252,21:44,21:48,"104.077408,30.623054",2,0:00
253,21:50,22:05,"104.058295,30.560051",1,0:00
254,21:54,22:14,"104.077251,30.668525",2,0:00
255,22:01,22:14,"104.078304,30.657437",2,0:00
256,22:05,22:14,"104.032356,30.675341",2,0:00
257,22:09,22:39,"104.098769,30.605727",1,0:00
258,22:33,22:59,"104.095189,30.67867",2,0:00
259,22:41,22:59,"104.123289,30.648229",2,0:00
260,22:49,23:17,"104.0312,30.63993",2,0:00
261,22:54,23:19,"104.077758,30.65552",2,0:00
262,22:12,23:19,"104.085852,30.650343",2,0:00
263,23:20,23:43,"104.03873,30.676243",2,0:00
264,23:35,23:59,"104.106301,30.609827",1,0:00
265,23:42,0:09,"104.067231,30.673184",2,0:00
266,23:43,0:09,"104.053617,30.663833",2,0:00
267,23:50,23:59,"104.118256,30.630806",2,0:00
268,0:21,,"104.068297,30.552391",1,1
269,0:21,,"104.068297,30.552391",1,1
270,0:17,0:29,"104.077107,30.657086",2,0:00
271,0:16,0:28,"104.050372,30.615803",1,0:00
272,0:15,0:28,"104.08391,30.665199",2,0:00
273,0:11,0:28,"104.0675,30.6548",2,0:00
274,0:25,0:38,"104.067521,30.667568",2,0:00
275,0:17,0:29,"104.078171,30.654518",2,0:00
276,0:20,0:29,"104.086342,30.66153",2,0:00
277,0:33,0:39,"104.078304,30.657437",2,0:00
278,0:33,0:39,"104.078304,30.657437",2,0:00
279,0:27,0:39,"104.068825,30.672511",2,0:00
280,0:36,0:54,"104.028173,30.698518",2,0:00
281,0:41,0:53,"104.070042,30.667657",2,0:00
282,0:36,0:58,"104.038396,30.552402",1,0:00
283,0:46,1:06,"104.071238,30.669794",2,0:00
284,0:56,1:06,"104.081283,30.660197",2,0:00
285,0:56,1:06,"104.081283,30.660197",2,0:00
286,1:04,1:14,"104.019956,30.662995",2,0:00
287,1:14,1:38,"104.00209,30.65291",2,0:00
288,1:23,1:45,"104.07657,30.649417",2,0:00
289,1:47,2:11,"104.122659,30.611335",1,0:00
290,1:52,2:11,"104.107192,30.646828",2,0:00
291,1:52,2:12,"104.065751,30.657453",2,0:00
292,1:50,2:12,"104.01861,30.632843",2,0:00
293,1:57,2:12,"103.996524,30.648874",2,0:00
294,2:00,2:11,"104.14403,30.62945",2,0:00
295,2:02,2:12,"104.05589,30.65069",2,0:00
296,2:02,2:12,"104.077286,30.656946",2,0:00
297,2:08,2:20,"104.085564,30.651194",2,0:00
298,2:07,2:12,"104.02062,30.665348",2,0:00
299,2:16,2:43,"104.079441,30.657369",2,0:00
300,2:18,2:37,"104.0446,30.546833",1,0:00
301,2:18,2:28,"104.08391,30.665199",2,0:00
302,2:20,2:27,"104.096916,30.662899",2,0:00
303,2:30,2:50,"104.081219,30.650957",2,0:00
304,2:28,2:50,"104.14078,30.62881",2,0:00
305,2:37,2:50,"104.06742,30.654855",2,0:00
306,2:28,2:50,"104.079506,30.668671",2,0:00
307,2:39,2:50,"104.041667,30.676028",2,0:00
308,2:42,2:50,"104.070411,30.59552",1,0:00
309,2:43,3:06,"104.051549,30.530383",1,0:00
310,2:50,3:11,"104.074994,30.642407",2,0:00
311,2:55,3:11,"104.07129,30.66933",2,0:00
312,2:59,3:06,"104.058415,30.644657",2,0:00
313,2:58,3:06,"104.03057,30.668006",2,0:00
314,2:56,3:07,"104.087717,30.6534",2,0:00
315,9:43,10:10,"104.078304,30.657437",2,0:00
316,9:48,10:10,"104.02073,30.688654",2,0:00
317,10:02,10:10,"104.059349,30.682298",2,0:00
318,10:23,10:37,"104.06148,30.65461",2,0:00
319,10:36,11:03,"104.044915,30.552357",1,0:00
320,10:50,11:18,"104.04147,30.61378",1,0:00
321,11:44,12:07,"104.012978,30.647972",2,0:00
322,12:16,12:39,"104.08312,30.548252",1,0:00
323,13:26,13:43,"104.06797,30.554604",1,0:00
324,13:21,13:43,"104.071362,30.556128",1,0:00
325,13:28,13:43,"104.048658,30.64542",2,0:00
326,13:24,13:43,"104.06148,30.65461",2,0:00
327,14:18,14:42,"104.092628,30.651445",2,0:00
328,14:23,14:42,"104.048732,30.643515",2,0:00
329,16:15,16:37,"104.089729,30.61968",2,0:00
330,16:14,16:37,"104.080383,30.667392",2,0:00
331,16:43,17:11,"104.071362,30.556128",1,0:00
332,16:48,17:11,"104.089868,30.643006",2,0:00
333,17:34,17:55,"104.048472,30.682733",2,0:00
334,17:50,18:14,"104.044596,30.552608",1,0:00
335,18:09,18:14,"104.061563,30.549035",1,0:00
336,18:04,18:14,"104.065322,30.547871",1,0:00
337,18:53,19:16,"104.078628,30.653662",2,0:00
338,20:32,20:50,"104.06123,30.57839",1,0:00
339,21:09,21:15,"104.070193,30.666155",2,0:00
340,20:49,21:15,"104.062414,30.648257",2,0:00
341,21:47,22:11,"104.045374,30.651983",2,0:00
342,21:59,22:11,"104.068727,30.647337",2,0:00
343,22:00,22:11,"104.095071,30.649753",2,0:00
344,22:31,22:56,"104.072553,30.670975",2,0:00
345,22:41,22:56,"104.047299,30.643929",2,0:00
346,22:59,23:23,"104.147257,30.674912",2,0:00
347,22:58,23:23,"104.06123,30.57839",1,0:00
348,23:16,23:36,"104.07671,30.660683",2,0:00
349,23:39,0:05,"104.038166,30.541795",1,0:00
350,23:46,0:11,"104.08165,30.66226",2,0:00
351,23:52,0:11,"104.068464,30.605893",1,0:00
352,23:59,0:22,"104.07925,30.652208",2,0:00
353,23:59,0:11,"104.052196,30.67722",2,0:00
354,0:11,0:35,"104.058157,30.559578",1,0:00
355,0:11,0:35,"104.06692,30.660961",2,0:00
356,0:20,0:35,"104.085958,30.694096",2,0:00
357,0:30,0:35,"104.08312,30.548252",1,0:00
358,0:39,1:04,"104.07263,30.66388",2,0:00
359,0:41,1:04,"104.027848,30.696718",2,0:00
360,0:43,1:04,"104.019428,30.701591",2,0:00
361,0:45,1:04,"104.004075,30.666341",2,0:00
362,0:55,1:04,"104.112622,30.716206",2,0:00
363,1:15,1:39,"104.042657,30.691589",2,0:00
364,1:14,1:39,"104.032356,30.675341",2,0:00
365,1:29,1:39,"104.022338,30.690572",2,0:00
366,1:29,1:54,"104.071822,30.678334",2,0:00
367,1:37,2:04,"104.063674,30.553138",1,0:00
368,1:39,1:54,"104.062126,30.656773",2,0:00
369,1:35,2:02,"103.996524,30.648874",2,0:00
370,1:42,1:54,"104.08493,30.651925",2,0:00
371,1:44,2:07,"104.04287,30.543508",1,0:00
372,1:41,2:07,"104.045572,30.54751",1,0:00
373,1:50,2:02,"104.027434,30.697177",2,0:00
374,1:59,2:21,"104.042529,30.712751",2,0:00
375,1:54,2:19,"104.086342,30.66153",2,0:00
376,2:01,2:19,"104.082038,30.65877",2,0:00
377,2:14,2:35,"104.053617,30.663833",2,0:00
378,2:10,2:35,"104.058157,30.559578",1,0:00
379,2:20,2:45,"104.059373,30.675541",2,0:00
380,2:30,2:45,"104.075987,30.591088",1,0:00
381,2:33,,"104.000628,30.678732",2,2
382,2:38,2:45,"104.076019,30.624126",2,0:00
383,2:43,,"104.049973,30.633276",2,2
384,2:47,,"104.091868,30.70806",2,2
385,2:51,,"104.120242,30.649473",2,2
386,2:52,,"104.095071,30.610937",1,1
387,2:54,,"104.074024,30.667782",2,2
388,9:54,10:04,"104.05998,30.674041",2,0:00
389,9:57,10:26,"104.05358,30.63007",2,0:00
390,10:21,10:41,"104.05358,30.63007",2,0:00
391,10:48,11:10,"104.077658,30.553558",1,0:00
392,11:13,11:37,"104.077653,30.629472",2,0:00
393,11:27,11:52,"104.062316,30.54747",1,0:00
394,11:51,12:12,"104.065597,30.639462",2,0:00
395,13:21,13:45,"104.121241,30.65602",2,0:00
396,13:48,14:34,"104.06681,30.67139",2,0:00
397,13:48,14:34,"104.04997,30.64552",2,0:00
398,14:52,15:15,"104.077653,30.629472",2,0:00
399,15:15,15:39,"104.11124,30.637306",2,0:00
400,17:16,17:40,"104.044916,30.658804",2,0:00
401,17:36,18:00,"104.03878,30.655396",2,0:00
402,18:05,18:28,"104.028041,30.663452",2,0:00
403,19:05,19:20,"104.112525,30.636451",2,0:00
404,20:23,20:47,"104.052552,30.631263",2,0:00
405,20:36,20:47,"104.147301,30.639219",2,0:00
406,20:41,20:56,"104.091404,30.646709",2,0:00
407,20:42,20:56,"104.044596,30.552608",1,0:00
408,20:48,20:58,"104.086196,30.661223",2,0:00
409,20:49,21:18,"103.995087,30.649197",2,0:00
410,20:59,21:19,"104.109236,30.632991",2,0:00
411,21:02,21:19,"104.070019,30.663845",2,0:00
412,21:04,21:19,"104.06855,30.60084",1,0:00
413,21:08,21:19,"104.082611,30.665644",2,0:00
414,21:15,21:40,"104.103315,30.669066",2,0:00
415,22:25,22:50,"104.121264,30.646166",2,0:00
416,22:38,22:50,"104.086861,30.653624",2,0:00
417,22:39,22:50,"104.07861,30.65894",2,0:00
418,22:50,23:08,"104.115565,30.655615",2,0:00
419,23:24,23:39,"104.05063,30.67605",2,0:00
420,23:43,0:09,"104.063117,30.568738",1,0:00
421,23:44,0:09,"104.110579,30.714613",2,0:00
422,23:46,0:10,"104.022953,30.66652",2,0:00
423,23:46,0:09,"104.060372,30.659942",2,0:00
424,23:55,0:10,"104.069726,30.653866",2,0:00
425,0:01,0:09,"104.08628,30.661018",2,0:00
426,0:21,0:42,"104.068297,30.552391",1,0:00
427,0:22,0:46,"104.018506,30.662113",2,0:00
428,0:29,0:42,"104.059826,30.55217",1,0:00
429,0:40,1:04,"104.1115,30.674648",2,0:00
430,0:44,1:04,"104.119508,30.602951",1,0:00
431,1:04,1:19,"104.085486,30.629794",2,0:00
432,1:04,1:13,"104.07553,30.652681",2,0:00
433,1:05,1:26,"104.032715,30.668769",2,0:00
434,1:06,1:26,"104.064965,30.70001",2,0:00
435,1:11,1:24,"104.118859,30.649359",2,0:00
436,1:12,1:24,"104.059219,30.646088",2,0:00
437,1:13,1:24,"104.14078,30.62881",2,0:00
438,1:16,1:31,"104.052202,30.589949",1,0:00
439,1:23,1:31,"104.085465,30.685362",2,0:00
440,1:32,1:46,"104.068682,30.670769",2,0:00
441,1:34,2:00,"104.015689,30.651247",2,0:00
442,1:36,1:46,"104.063846,30.646184",2,0:00
443,1:37,1:46,"104.069092,30.665606",2,0:00
444,1:40,2:01,"104.054251,30.668971",2,0:00
445,1:41,2:01,"104.06878,30.67261",2,0:00
446,1:41,2:00,"104.001691,30.659655",2,0:00
447,1:50,2:00,"104.01755,30.673999",2,0:00
448,1:53,2:14,"104.11115,30.669649",2,0:00
449,2:04,2:14,"104.06051,30.633093",2,0:00
450,1:58,2:05,"104.014506,30.652014",2,0:00
451,2:00,2:25,"104.04197,30.65073",2,0:00
452,2:00,2:25,"104.04197,30.65073",2,0:00
453,2:01,2:26,"104.14078,30.62881",2,0:00
454,2:27,2:49,"104.16057,30.62777",2,0:00
455,2:42,3:03,"104.031608,30.563611",1,0:00
456,2:41,3:03,"104.131182,30.655364",2,0:00
457,2:40,3:03,"104.083956,30.598667",1,0:00
458,2:45,3:03,"104.10238,30.6397",2,0:00
459,2:50,3:03,"104.076291,30.654189",2,0:00
460,3:13,,"104.093692,30.708891",2,2
461,8:55,9:20,"104.127099,30.600289",1,0:00
462,9:12,9:21,"104.061489,30.670611",2,0:00
463,9:44,10:10,"104.08589,30.66202",2,0:00
464,9:50,10:10,"104.070984,30.66947",2,0:00
465,9:49,10:10,"104.059521,30.645347",2,0:00
466,10:02,10:22,"104.047299,30.643929",2,0:00
467,11:05,11:18,"104.026639,30.69304",2,0:00
468,10:54,11:18,"104.079441,30.657369",2,0:00
469,14:24,14:47,"104.058042,30.608416",1,0:00
470,14:47,15:13,"104.071919,30.677937",2,0:00
471,14:59,15:13,"104.048658,30.64542",2,0:00
472,14:56,15:27,"104.08652,30.66134",2,0:00
473,16:03,16:19,"104.141625,30.62886",2,0:00
474,15:56,16:19,"104.039636,30.663642",2,0:00
475,16:21,16:29,"104.081084,30.607655",1,0:00
476,16:48,16:59,"104.015872,30.637465",2,0:00
477,16:36,16:59,"104.057769,30.645629",2,0:00
478,16:49,17:00,"104.04663,30.55893",1,0:00
479,16:51,17:04,"104.021126,30.665652",2,0:00
480,16:49,17:15,"104.04663,30.55893",1,0:00
481,16:49,17:15,"104.04663,30.55893",1,0:00
482,17:22,17:44,"104.04861,30.678235",2,0:00
483,17:41,17:44,"104.068536,30.711184",2,0:00
484,17:42,17:58,"104.103671,30.712682",2,0:00
485,17:45,17:58,"104.077141,30.641503",2,0:00
486,19:00,19:21,"104.082358,30.651647",2,0:00
487,19:57,20:23,"104.05159,30.664057",2,0:00
488,20:22,20:47,"104.001786,30.652939",2,0:00
489,20:24,20:47,"104.154977,30.630737",2,0:00
490,21:25,21:35,"104.078304,30.657437",2,0:00
491,21:23,21:35,"104.045441,30.680294",2,0:00
492,21:21,21:35,"104.115977,30.609599",1,0:00
493,21:35,21:57,"104.088966,30.665424",2,0:00
494,22:08,22:30,"104.066279,30.642821",2,0:00
495,22:15,22:39,"103.998507,30.648252",2,0:00
496,22:27,22:39,"104.051936,30.599671",1,0:00
497,22:29,22:54,"104.071625,30.625062",2,0:00
498,22:33,22:54,"104.036285,30.672558",2,0:00
499,22:35,22:42,"104.067498,30.654819",2,0:00
500,22:38,22:54,"104.061764,30.645772",2,0:00
501,22:49,23:10,"104.066262,30.623069",2,0:00
502,22:58,23:20,"104.018174,30.667152",2,0:00
503,22:59,23:20,"104.04197,30.65073",2,0:00
504,23:09,23:20,"104.002851,30.674873",2,0:00
505,23:36,23:54,"104.047692,30.655676",2,0:00
506,23:36,23:54,"104.086029,30.661398",2,0:00
507,23:48,23:54,"104.110349,30.683067",2,0:00
508,23:50,23:54,"104.088479,30.699515",2,0:00
509,23:50,0:15,"104.154977,30.630737",2,0:00
510,23:54,0:16,"104.035294,30.645867",2,0:00
511,23:55,0:16,"104.069658,30.665135",2,0:00
512,0:11,0:16,"104.026524,30.684059",2,0:00
513,0:13,0:23,"104.089896,30.654933",2,0:00
514,0:13,0:23,"104.042531,30.693765",2,0:00
515,0:13,0:23,"104.106853,30.71699",2,0:00
516,0:15,0:35,"104.068536,30.711184",2,0:00
517,0:27,0:41,"104.078304,30.657437",2,0:00
518,0:27,0:41,"104.085582,30.651219",2,0:00
519,0:41,1:05,"104.14078,30.62881",2,0:00
520,0:44,1:05,"104.061854,30.5536",1,0:00
521,0:17,0:35,"104.026524,30.684059",2,0:00
