No,日期,到达人数,目的地,共乘序号,到达时间（验票时间）,上车时间,lng,lat,latlng,聚类分组
0,2018/4/20,1,新城市广场,1,9:52,10:18,104.057651,30.67383,"104.057651,30.67383",2
1,2018/4/20,1,太成宾馆,1,10:11,10:18,104.053237,30.646505,"104.053237,30.646505",2
2,2018/4/20,1,成都外双楠希尔顿欢朋酒店,2,11:03,11:14,103.994865,30.649418,"103.994865,30.649418",2
3,2018/4/20,1,西岸蒂景A座,3,11:13,11:39,104.053962,30.674086,"104.053962,30.674086",2
4,2018/4/20,1,7天酒店(成都春熙路盐市口店),4,12:40,12:55,104.078304,30.657437,"104.078304,30.657437",2
5,2018/4/20,1,禾嘉利好,4,12:31,12:55,104.084367,30.696078,"104.084367,30.696078",2
6,2018/4/20,1,成都盛铂仕丹酒店武侯祠店,5,13:18,13:46,104.01362,30.64666,"104.01362,30.64666",2
7,2018/4/20,4,成都中心世茂睿选尚品酒店,6,14:00,14:30,104.07665,30.65986,"104.07665,30.65986",2
8,2018/4/20,2,成都宽窄巷子希尔顿欢朋酒店,7,14:47,14:59,104.05283,30.68131,"104.05283,30.68131",2
9,2018/4/20,2,肖家河北街,8,15:48,15:59,104.042849,30.633738,"104.042849,30.633738",2
10,2018/4/20,1,成都东站,9,16:55,17:05,104.141625,30.62886,"104.141625,30.62886",2
11,2018/4/20,1,华西国际,10,17:16,17:36,104.058951,30.643685,"104.058951,30.643685",2
12,2018/4/20,2,首座万丽,11,17:29,17:58,104.066565,30.612248,"104.066565,30.612248",1
13,2018/4/20,4,何日君酒店(人南店),12,17:48,18:12,104.06642,30.624537,"104.06642,30.624537",2
14,2018/4/20,1,新品汉庭酒店成都天府广场盐市口店,13,19:58,20:23,104.06962,30.66015,"104.06962,30.66015",2
15,2018/4/20,2,成都印主题城市别墅酒店名流花园店,14,20:03,20:23,104.002619,30.653294,"104.002619,30.653294",2
16,2018/4/20,2,玉林会所（玉林店）,13,20:03,20:23,104.060474,30.62651,"104.060474,30.62651",2
17,2018/4/20,1,安逸酒店(成都西南财大地铁站店),14,20:18,20:23,104.077778,30.654769,"104.077778,30.654769",2
18,2018/4/20,1,汉庭酒店(宽窄巷子新店),15,20:47,21:07,104.053891,30.66818,"104.053891,30.66818",2
19,2018/4/20,1,成都埃菲尔国际酒店,15,20:49,21:07,104.027287,30.632327,"104.027287,30.632327",2
20,2018/4/20,1,天晴国际青年客栈,16,20:57,21:20,104.042952,30.654906,"104.042952,30.654906",2
21,2018/4/20,1,瑞升望江橡树林,16,21:10,21:20,104.091832,30.622495,"104.091832,30.622495",2
22,2018/4/20,1,成都东站东广场,17,21:22,21:46,104.143974,30.628064,"104.143974,30.628064",2
23,2018/4/20,1,维也纳酒店(成都春熙路天府广场地铁站店),17,21:34,21:46,104.065751,30.657453,"104.065751,30.657453",2
24,2018/4/20,1,成都万友睿柏云酒店,18,21:44,22:11,104.10337,30.60094,"104.10337,30.60094",1
25,2018/4/20,1,金茂光明城市,19,21:46,22:12,104.046359,30.527427,"104.046359,30.527427",1
26,2018/4/20,2,紫竹苑,18,21:54,22:11,104.05252,30.615756,"104.05252,30.615756",1
27,2018/4/20,1,cpe大楼,19,22:02,22:12,104.067368,30.545046,"104.067368,30.545046",1
28,2018/4/20,1,成都轩雅映月酒店,20,22:02,22:29,104.07553,30.652681,"104.07553,30.652681",2
29,2018/4/20,2,成都西门智选假日酒店-停车场,20,22:07,22:29,104.029866,30.636913,"104.029866,30.636913",2
30,2018/4/20,1,宽窄巷子,21,22:03,22:13,104.053617,30.663833,"104.053617,30.663833",2
31,2018/4/20,4,金河宾馆,20,22:20,22:29,104.056091,30.661776,"104.056091,30.661776",2
32,2018/4/20,1,如家快捷酒店成都春熙路太古里书院街站,22,22:19,22:39,104.07773,30.656547,"104.07773,30.656547",2
33,2018/4/20,4,成都芙蓉饭店,23,22:19,22:41,104.058902,30.670086,"104.058902,30.670086",2
34,2018/4/20,2,科甲大厦,23,22:29,22:41,104.079342,30.656251,"104.079342,30.656251",2
35,2018/4/20,2,成都尚锦和美春熙太古里酒店,24,22:44,23:06,104.08493,30.651925,"104.08493,30.651925",2
36,2018/4/20,1,成都高新实验中学新北校区,24,22:50,23:06,104.038652,30.603918,"104.038652,30.603918",1
37,2018/4/20,1,海滨铂雅酒店,24,22:54,23:06,104.103951,30.713386,"104.103951,30.713386",2
38,2018/4/20,1,金科一城,24,22:56,23:06,104.111817,30.711406,"104.111817,30.711406",2
39,2018/4/20,1,一号线火车北站地铁站,25,23:01,23:25,104.073972,30.695568,"104.073972,30.695568",2
40,2018/4/20,1,中国工商银行(天顺路支行),25,23:07,23:25,104.071246,30.591621,"104.071246,30.591621",1
41,2018/4/20,1,景茂城果,26,23:06,23:25,104.06927,30.52827,"104.06927,30.52827",1
42,2018/4/20,2,丽景华庭,27,23:13,23:36,104.015689,30.651247,"104.015689,30.651247",2
43,2018/4/20,1,世纪城,28,23:24,23:36,104.071362,30.556128,"104.071362,30.556128",1
44,2018/4/20,4,成都寓尊精品公寓,29,23:33,23:46,104.06899,30.66576,"104.06899,30.66576",2
45,2018/4/20,2,成都花园,30,23:44,0:08,104.011714,30.655637,"104.011714,30.655637",2
46,2018/4/20,1,南苑B区,31,23:46,0:11,104.05696,30.57472,"104.05696,30.57472",1
47,2018/4/20,1,成都瑞欣酒店,30,0:03,0:08,104.052029,30.675318,"104.052029,30.675318",2
48,2018/4/20,2,七天快捷主题公寓(成都东站店),32,0:03,0:12,104.14078,30.62881,"104.14078,30.62881",2
49,2018/4/20,1,智慧康城,33,0:08,0:25,104.046605,30.709158,"104.046605,30.709158",2
50,2018/4/20,1,桔子酒店精选(成都顺城店),33,0:11,0:25,104.072594,30.666769,"104.072594,30.666769",2
51,2018/4/20,2,百世酒店,33,0:18,0:25,104.086735,30.651399,"104.086735,30.651399",2
52,2018/4/20,1,华润幸福里,34,0:20,0:43,104.119337,30.610139,"104.119337,30.610139",1
53,2018/4/20,1,锦江之星酒店(成都金仙桥店),34,0:30,0:43,104.052196,30.67722,"104.052196,30.67722",2
54,2018/4/20,1,艺家风格酒店,35,0:25,0:48,104.011298,30.695041,"104.011298,30.695041",2
55,2018/4/20,1,华林南苑,36,0:42,1:09,104.139872,30.682812,"104.139872,30.682812",2
56,2018/4/20,1,东方广场,36,0:46,1:09,104.090021,30.647671,"104.090021,30.647671",2
57,2018/4/20,1,四川省社会科学院,36,0:46,1:09,104.041584,30.653032,"104.041584,30.653032",2
