no,city,目的地
1,成都,新城市广场
2,成都,太成宾馆
3,成都,成都外双楠希尔顿欢朋酒店
4,成都,西岸蒂景A座
5,成都,7天酒店(成都春熙路盐市口店)
6,成都,禾嘉利好
7,成都,成都盛铂仕丹酒店武侯祠店
8,成都,中心世茂
9,成都,成都宽窄巷子希尔顿欢朋酒店
10,成都,肖家河北街
11,成都,成都东站
12,成都,华西国际
13,成都,首座万丽
14,成都,何日君酒店(人南店)
15,成都,新品汉庭酒店成都天府广场盐市口店
16,成都,成都印主题城市别墅酒店名流花园店
17,成都,玉林会所（玉林店）
18,成都,安逸酒店(成都西南财大地铁站店)
19,成都,汉庭酒店(宽窄巷子新店)
20,成都,成都埃菲尔国际酒店
21,成都,天晴国际青年客栈
22,成都,瑞升望江橡树林
23,成都,成都东站东广场
24,成都,维也纳酒店(成都春熙路天府广场地铁站店)
25,成都,万友睿柏
26,成都,金茂光明城市
27,成都,紫竹苑
28,成都,cpe大楼
29,成都,成都轩雅映月酒店
30,成都,成都西门智选假日酒店-停车场
31,成都,宽窄巷子
32,成都,金河宾馆
33,成都,如家快捷酒店成都春熙路太古里书院街站
34,成都,成都芙蓉饭店
35,成都,科甲大厦
36,成都,成都尚锦和美春熙太古里酒店
37,成都,成都高新实验中学新北校区
38,成都,海滨铂雅酒店
39,成都,金科一城
40,成都,一号线火车北站地铁站
41,成都,中国工商银行(天顺路支行)
42,成都,影茂城果
43,成都,丽景华庭
44,成都,世纪城
45,成都,成都寓尊精品公寓
46,成都,成都花园
47,成都,南苑B区
48,成都,成都瑞欣酒店
49,成都,七天快捷主题公寓(成都东站店)
50,成都,智慧康城
51,成都,桔子酒店精选(成都顺城店)
52,成都,百世酒店
53,成都,华润幸福里
54,成都,锦江之星酒店(成都金仙桥店)
55,成都,艺家风格酒店
56,成都,华林南苑
57,成都,东方广场
58,成都,四川省社会科学院
59,成都,成都索菲斯民族大酒店
60,成都,如家精选酒店(太古里天祥街店)
61,成都,西门车站
62,成都,成都现代城
63,成都,圣沅汇景樱桃季
64,成都,桔子酒店精选(成都环球中心店)
65,成都,清溪西路
66,成都,三四五时尚
67,成都,成都如客酒店
68,成都,福兴苑
69,成都,尊宝披萨意式休闲餐厅
70,成都,成都初见精品公寓
71,成都,锦江之星酒店(成都文殊坊店)
72,成都,家益欣城
73,成都,如家快捷酒店(成都华西医大省体育馆地铁站店)
74,成都,净居寺
75,成都,新品汉庭酒店成都科华北路四川大学店
76,成都,成都东站
77,成都,一环路东二段
78,成都,高碑瑞苑
79,成都,四威大厦
80,成都,天香包点(天香店)
81,成都,白云花园
82,成都,三四五时尚
83,成都,茶店子
84,成都,南馨苑
85,成都,hewoo筑梦空间青年公寓(成都东站店)
86,成都,浅水半岛
87,成都,徒行陌客
88,成都,武侯祠
89,成都,西单商场
90,成都,撒哈拉何兮青年空间
91,成都,高笋塘站
92,成都,首座万豪酒店
93,成都,环球汇天誉蔚蓝
94,成都,新世纪环球购物广场
95,成都,紫东阳光一期
96,成都,锦城宽窄精品主题服务公寓
97,成都,琉璃一街站
98,成都,一路向北青年旅社
99,成都,哈斯顿酒店
100,成都,联森酒店(宽窄巷子店)
101,成都,春熙路南端步行街
102,成都,蓉城云熙精品度假公寓
103,成都,宽窄芙蓉精品度假公寓
104,成都,宽窄芙蓉精品度假公寓
105,成都,锦里小吃街
106,成都,全季酒店(成都高新店)
107,成都,高地中心
108,成都,天湖宾馆
109,成都,新鸿社区
110,成都,格兰威尔酒店(阳光地带东)
111,成都,成都馨乐庭城南服务公寓
112,成都,慕和南道
113,成都,成都瑞庭连锁酒店(晨辉二街店)
114,成都,泛悦国际
115,成都,西二道街口
116,成都,锦江宾馆
117,成都,四川省地方税务局
118,成都,阳光金沙
119,成都,东客站
120,成都,成都斑斓家民宿九眼桥店
121,成都,西南交通大学(九里校区)
122,成都,康河郦景
123,成都,神仙树大院
124,成都,沙河堡医院
125,成都,四川大学
126,成都,锦洲花园
127,成都,爱家馨城
128,成都,康河郦景
129,成都,伊丽特酒店
130,成都,金茂假日
131,成都,金茂假日
132,成都,成都瑞思博雅酒店
133,成都,成都站
134,成都,太平园
135,成都,成都希尔顿酒店
136,成都,环球中心
137,成都,蓝光云鼎
138,成都,锦江之星酒店(成都白果林地铁站店)
139,成都,泡桐树公寓
140,成都,龙腾小区
141,成都,成都轩雅映月酒店
142,成都,福顺苑-西门
143,成都,时代天骄
144,成都,礼顿酒店
145,成都,二环路西二段77号院
146,成都,成都站
147,成都,金楠国际
148,成都,锦江之星酒店(成都春熙路王府井店)
149,成都,山水时尚酒店(九眼桥店)
150,成都,一品荷花
151,成都,三环航天立交北内侧-公交车站
152,成都,赛格广场
153,成都,美城云庭
154,成都,布丁酒店(成都一品天下蜀汉路东地铁站店)
