No,latlng
0,"104.02073,30.688654"
1,"104.059349,30.682298"
2,"103.987671,30.730944"
3,"104.012978,30.647972"
4,"104.08312,30.548252"
5,"104.091659,30.675364"
6,"104.071362,30.556128"
7,"104.048658,30.64542"
8,"104.086167,30.654578"
9,"104.089729,30.61968"
10,"104.080383,30.667392"
11,"104.071362,30.556128"
12,"104.089868,30.643006"
13,"104.078628,30.653662"
14,"104.062414,30.648257"
15,"104.045374,30.651983"
16,"104.068727,30.647337"
17,"104.095071,30.649753"
18,"104.090117,30.652435"
19,"104.10544,30.603416"
20,"104.147257,30.674912"
21,"104.07671,30.660683"
22,"104.068464,30.605893"
23,"104.061561,30.578001"
24,"104.090117,30.652435"
25,"104.058157,30.559578"
26,"104.060901,30.673857"
27,"104.085958,30.694096"
28,"104.08312,30.548252"
29,"104.027848,30.696718"
30,"104.019428,30.701591"
31,"104.004075,30.666341"
32,"104.112622,30.716206"
33,"104.014555,30.638154"
34,"104.090117,30.652435"
35,"104.270711,30.873465"
36,"104.071822,30.678334"
37,"104.19485,30.569227"
38,"104.062126,30.656773"
39,"103.996524,30.648874"
40,"104.061561,30.578001"
41,"104.04287,30.543508"
42,"104.027434,30.697177"
43,"104.042529,30.712751"
44,"104.053617,30.663833"
45,"104.058157,30.559578"
46,"104.062649,30.654618"
47,"104.536277,30.401817"
48,"104.000628,30.678732"
49,"104.057861,30.625191"
50,"104.091868,30.70806"
51,"104.11893,30.645014"
52,"104.095071,30.610937"
53,"104.074024,30.667782"
54,"104.05998,30.674041"
55,"104.077658,30.553558"
56,"104.077653,30.629472"
57,"104.062316,30.54747"
58,"104.065597,30.639462"
59,"104.121241,30.65602"
60,"104.077653,30.629472"
61,"104.044916,30.658804"
62,"104.090117,30.652435"
63,"104.028041,30.663452"
64,"104.052552,30.631263"
65,"104.147301,30.639219"
66,"104.091404,30.646709"
67,"104.044596,30.552608"
68,"104.086196,30.661223"
69,"104.061381,30.656596"
70,"104.109236,30.632991"
71,"104.06996,30.66383"
72,"104.06855,30.60084"
73,"103.710367,30.722555"
74,"104.103315,30.669066"
75,"104.115565,30.655615"
76,"103.641034,30.981856"
77,"104.077917,30.547387"
78,"104.110579,30.714613"
79,"104.022953,30.66652"
80,"104.060372,30.659942"
81,"103.696142,30.63542"
82,"104.08628,30.661018"
83,"104.068297,30.552391"
84,"104.018506,30.662113"
85,"104.059826,30.55217"
86,"104.1115,30.674648"
87,"104.119508,30.602951"
88,"104.085486,30.629794"
89,"104.07553,30.652681"
90,"104.064965,30.70001"
91,"104.118859,30.649359"
92,"104.005989,30.651649"
93,"104.052202,30.589949"
94,"104.104354,30.680378"
95,"104.068682,30.670769"
96,"104.015689,30.651247"
97,"104.061648,30.645693"
98,"104.054251,30.668971"
99,"104.001691,30.659655"
100,"104.01755,30.673999"
101,"104.070485,30.65989"
102,"104.11263,30.668674"
103,"104.014506,30.652014"
104,"104.090117,30.652435"
105,"104.090117,30.652435"
106,"104.005989,30.651649"
107,"104.16057,30.62777"
108,"104.031608,30.563611"
109,"104.131182,30.655364"
110,"104.083956,30.598667"
111,"104.004029,30.575039"
112,"104.093692,30.708891"
113,"103.980025,30.65295"
114,"104.061489,30.670611"
115,"104.05514,30.754647"
116,"104.10544,30.603416"
117,"104.084398,30.635401"
118,"104.061561,30.578001"
119,"104.058042,30.608416"
120,"104.071919,30.677937"
121,"104.048658,30.64542"
122,"104.141625,30.62886"
123,"104.178927,30.792112"
124,"104.081084,30.607655"
125,"104.068134,30.673802"
126,"104.057693,30.645694"
127,"103.664873,30.629049"
128,"104.021126,30.665652"
129,"103.664873,30.629049"
130,"103.664873,30.629049"
131,"104.068536,30.711184"
132,"104.061,30.549021"
133,"104.05159,30.664057"
134,"104.003648,30.65338"
135,"104.154977,30.630737"
136,"104.066027,30.690442"
137,"104.015872,30.637465"
138,"104.088966,30.665424"
139,"104.069297,30.65361"
140,"103.998507,30.648252"
141,"104.051936,30.599671"
142,"104.071625,30.625062"
143,"104.036285,30.672558"
144,"104.067498,30.654819"
145,"104.08338,30.694975"
146,"104.066262,30.623069"
147,"104.018174,30.667152"
148,"104.090117,30.652435"
149,"104.047692,30.655676"
150,"104.086029,30.661398"
151,"104.110349,30.683067"
152,"104.088479,30.699515"
153,"104.154977,30.630737"
154,"104.035294,30.645867"
155,"104.069658,30.665135"
156,"104.074994,30.642407"
157,"104.089896,30.654933"
158,"104.048827,30.652994"
159,"104.106853,30.71699"
160,"104.068536,30.711184"
161,"104.078304,30.657437"
162,"104.085582,30.651219"
163,"104.005989,30.651649"
164,"104.061854,30.5536"
165,"104.074994,30.642407"
166,"104.074994,30.642407"
167,"104.02455,30.65046"
168,"104.066027,30.690442"
169,"104.015872,30.637465"
170,"104.079053,30.678868"
171,"104.057651,30.67383"
172,"104.074994,30.642407"
173,"104.045374,30.651983"
174,"104.082751,30.599012"
175,"104.074994,30.642407"
176,"104.002837,30.669541"
177,"104.079973,30.651014"
178,"104.07553,30.652681"
179,"104.078171,30.654518"
180,"104.015726,30.671891"
181,"104.085321,30.548303"
182,"104.073403,30.696772"
183,"104.041087,30.605414"
184,"104.087492,30.680633"
185,"104.096381,30.703774"
186,"104.26546,30.553385"
187,"104.091843,30.693119"
188,"104.075662,30.700486"
189,"104.086903,30.661361"
190,"103.856172,30.697598"
191,"104.015726,30.671891"
