No,date,num,cp_ID,arr_time,dep_time
0,2018/4/20,1,1,9:52,10:18
1,2018/4/20,1,1,10:11,10:18
2,2018/4/20,1,2,11:03,11:14
3,2018/4/20,1,3,11:13,11:39
4,2018/4/20,1,,,
5,2018/4/20,1,4,12:40,12:55
6,2018/4/20,1,4,12:31,12:55
7,2018/4/20,4,5,13:18,13:46
8,2018/4/20,2,6,14:00,14:30
9,2018/4/20,2,7,14:47,14:59
10,2018/4/20,1,8,15:48,15:59
11,2018/4/20,1,9,16:55,17:05
12,2018/4/20,2,10,17:16,17:36
13,2018/4/20,4,11,17:29,17:58
14,2018/4/20,1,12,17:48,18:12
15,2018/4/20,2,13,19:58,20:23
16,2018/4/20,2,14,20:03,20:23
17,2018/4/20,1,13,20:03,20:23
18,2018/4/20,1,14,20:18,20:23
19,2018/4/20,1,15,20:47,21:07
20,2018/4/20,1,15,20:49,21:07
21,2018/4/20,1,16,20:57,21:20
22,2018/4/20,1,16,21:10,21:20
23,2018/4/20,1,17,21:22,21:46
24,2018/4/20,1,17,21:34,21:46
25,2018/4/20,1,18,21:44,22:11
26,2018/4/20,2,19,21:46,22:12
27,2018/4/20,1,18,21:54,22:11
28,2018/4/20,1,19,22:02,22:12
29,2018/4/20,2,20,22:02,22:29
30,2018/4/20,1,20,22:07,22:29
31,2018/4/20,4,21,22:03,22:13
32,2018/4/20,1,20,22:20,22:29
33,2018/4/20,4,22,22:19,22:39
34,2018/4/20,2,23,22:19,22:41
35,2018/4/20,2,23,22:29,22:41
36,2018/4/20,1,24,22:44,23:06
37,2018/4/20,1,24,22:50,23:06
38,2018/4/20,1,24,22:54,23:06
39,2018/4/20,1,24,22:56,23:06
40,2018/4/20,1,25,23:01,23:25
41,2018/4/20,1,25,23:07,23:25
42,2018/4/20,2,26,23:06,23:25
43,2018/4/20,1,27,23:13,23:36
44,2018/4/20,4,28,23:24,23:36
45,2018/4/20,2,29,23:33,23:46
46,2018/4/20,1,30,23:44,0:08
47,2018/4/20,1,31,23:46,0:11
48,2018/4/20,2,30,0:03,0:08
49,2018/4/20,1,32,0:03,0:12
50,2018/4/20,1,33,0:08,0:25
51,2018/4/20,2,33,0:11,0:25
52,2018/4/20,1,33,0:18,0:25
53,2018/4/20,1,34,0:20,0:43
54,2018/4/20,1,34,0:30,0:43
55,2018/4/20,1,35,0:25,0:48
56,2018/4/20,1,36,0:42,1:09
57,2018/4/20,1,36,0:46,1:09
58,2018/4/20,1,36,0:46,1:09
59,2018/4/20,1,37,0:52,1:10
60,2018/4/20,1,37,0:49,1:10
61,2018/4/20,1,37,0:49,1:10
62,2018/4/20,1,38,1:11,1:26
63,2018/4/20,1,39,1:17,1:31
64,2018/4/20,1,39,1:22,1:31
65,2018/4/20,1,39,1:21,1:31
66,2018/4/20,1,39,1:22,1:31
67,2018/4/20,4,40,1:23,1:31
68,2018/4/20,1,41,1:30,1:47
69,2018/4/20,1,41,1:28,1:50
70,2018/4/20,2,42,1:36,1:46
71,2018/4/20,2,42,1:32,1:46
72,2018/4/20,2,43,1:34,1:58
73,2018/4/20,1,44,1:38,1:57
74,2018/4/20,1,45,1:50,2:04
75,2018/4/20,1,45,1:54,2:04
76,2018/4/20,1,45,1:46,2:04
77,2018/4/20,1,46,2:07,2:20
78,2018/4/20,1,47,2:07,2:29
79,2018/4/20,1,48,2:13,2:40
80,2018/4/20,1,48,2:17,2:40
81,2018/4/20,1,47,2:19,2:29
82,2018/4/20,1,49,2:19,2:39
83,2018/4/20,1,49,2:23,2:39
84,2018/4/20,1,49,2:25,2:39
85,2018/4/20,2,50,2:40,3:05
86,2018/4/20,1,50,2:40,3:05
87,2018/4/20,1,51,2:51,3:04
88,2018/4/20,1,,3:03,
89,2018/4/20,1,,3:04,
90,2018/4/20,1,,3:01,
91,2018/4/20,1,,3:10,
92,2018/4/21,1,1,9:47,10:03
93,2018/4/21,1,2,10:03,10:15
94,2018/4/21,2,3,10:40,11:06
95,2018/4/21,1,4,11:12,11:32
96,2018/4/21,1,4,11:27,11:32
97,2018/4/21,1,5,11:47,12:19
98,2018/4/21,4,6,12:48,13:07
99,2018/4/21,4,7,13:16,13:28
100,2018/4/21,2,8,13:31,13:56
101,2018/4/21,2,9,14:26,14:49
102,2018/4/21,2,10,15:51,16:15
103,2018/4/21,2,11,15:56,16:15
104,2018/4/21,2,11,15:56,16:15
105,2018/4/21,2,12,17:32,17:49
106,2018/4/21,1,13,18:14,18:37
107,2018/4/21,1,14,18:50,19:15
108,2018/4/21,4,15,19:24,19:36
109,2018/4/21,2,16,20:10,20:36
110,2018/4/21,1,17,20:18,20:39
111,2018/4/21,1,18,20:30,20:56
112,2018/4/21,1,19,20:39,21:24
113,2018/4/21,1,20,21:10,21:28
114,2018/4/21,1,20,21:27,21:28
115,2018/4/21,1,21,21:26,21:49
