日期,到达人数,到达时间（验票时间）,辅助列,,
2018/4/20,1,9:52,9.5,,
2018/4/20,1,10:11,10,,
2018/4/20,1,11:03,11,,
2018/4/20,1,11:13,11,,
2018/4/20,1,12:40,12.5,,
2018/4/20,1,12:31,12.5,,
2018/4/20,4,13:18,13,,
2018/4/20,2,14:00,14,,
2018/4/20,2,14:47,14.5,,
2018/4/20,1,15:48,15.5,,
2018/4/20,1,16:55,16.5,,
2018/4/20,2,17:16,17,,
2018/4/20,4,17:29,17,,
2018/4/20,1,17:48,17.5,,
2018/4/20,2,19:58,19.5,,
2018/4/20,2,20:03,20,,
2018/4/20,1,20:03,20,,
2018/4/20,1,20:18,20,,
2018/4/20,1,20:47,20.5,,
2018/4/20,1,20:49,20.5,,
2018/4/20,1,20:57,20.5,,
2018/4/20,1,21:10,21,,
2018/4/20,1,21:22,21,,
2018/4/20,1,21:34,21.5,,
2018/4/20,1,21:44,21.5,,
2018/4/20,2,21:46,21.5,,
2018/4/20,1,21:54,21.5,,
2018/4/20,1,22:02,22,,
2018/4/20,2,22:02,22,,
2018/4/20,1,22:07,22,,
2018/4/20,4,22:03,22,,
2018/4/20,1,22:20,22,,
2018/4/20,4,22:19,22,,
2018/4/20,2,22:19,22,,
2018/4/20,2,22:29,22,,
2018/4/20,1,22:44,22.5,,
2018/4/20,1,22:50,22.5,,
2018/4/20,1,22:54,22.5,,
2018/4/20,1,22:56,22.5,,
2018/4/20,1,23:01,23,,
2018/4/20,1,23:07,23,,
2018/4/20,2,23:06,23,,
2018/4/20,1,23:13,23,,
2018/4/20,4,23:24,23,,
2018/4/20,2,23:33,23.5,,
2018/4/20,1,23:44,23.5,,
2018/4/20,1,23:46,23.5,,
2018/4/20,2,0:03,0,,
2018/4/20,1,0:03,0,,
2018/4/20,1,0:08,0,,
2018/4/20,2,0:11,0,,
2018/4/20,1,0:18,0,,
2018/4/20,1,0:20,0,,
2018/4/20,1,0:30,0.5,,
2018/4/20,1,0:25,0,,
2018/4/20,1,0:42,0.5,,
2018/4/20,1,0:46,0.5,,
2018/4/20,1,0:46,0.5,,
2018/4/20,1,0:52,0.5,,
2018/4/20,1,0:49,0.5,,
2018/4/20,1,0:49,0.5,,
2018/4/20,1,1:11,1,,
2018/4/20,1,1:17,1,,
2018/4/20,1,1:22,1,,
2018/4/20,1,1:21,1,,
2018/4/20,1,1:22,1,,
2018/4/20,4,1:23,1,,
2018/4/20,1,1:30,1.5,,
2018/4/20,1,1:28,1,,
2018/4/20,2,1:36,1.5,,
2018/4/20,2,1:32,1.5,,
2018/4/20,2,1:34,1.5,,
2018/4/20,1,1:38,1.5,,
2018/4/20,1,1:50,1.5,,
2018/4/20,1,1:54,1.5,,
2018/4/20,1,1:46,1.5,,
2018/4/20,1,2:07,2,,
2018/4/20,1,2:07,2,,
2018/4/20,1,2:13,2,,
2018/4/20,1,2:17,2,,
2018/4/20,1,2:19,2,,
2018/4/20,1,2:19,2,,
2018/4/20,1,2:23,2,,
2018/4/20,1,2:25,2,,
2018/4/20,2,2:40,2.5,,
2018/4/20,1,2:40,2.5,,
2018/4/20,1,2:51,2.5,,
2018/4/20,1,3:03,3,,
2018/4/20,1,3:04,3,,
2018/4/20,1,3:01,3,,
2018/4/20,1,3:10,3,,
2018/4/21,1,9:47,9.5,,
2018/4/21,1,10:03,10,,
2018/4/21,2,10:40,10.5,,
2018/4/21,1,11:12,11,,
2018/4/21,1,11:27,11,,
2018/4/21,1,11:47,11.5,,
2018/4/21,4,12:48,12.5,,
2018/4/21,4,13:16,13,,
2018/4/21,2,13:31,13.5,,
2018/4/21,2,14:26,14,,
2018/4/21,2,15:51,15.5,,
2018/4/21,2,15:56,15.5,,
2018/4/21,2,15:56,15.5,,
2018/4/21,2,17:32,17.5,,
2018/4/21,1,18:14,18,,
2018/4/21,1,18:50,18.5,,
2018/4/21,4,19:24,19,,
2018/4/21,2,20:10,20,,
2018/4/21,1,20:18,20,,
2018/4/21,1,20:30,20.5,,
2018/4/21,1,20:39,20.5,,
2018/4/21,1,21:10,21,,
2018/4/21,1,21:27,21,,
2018/4/21,1,21:26,21,,
2018/4/21,2,21:39,21.5,,
2018/4/21,1,21:49,21.5,,
