carno,time,start,terminal,latlng
1,10:18,A,0,"[103.955542,30.569893],[104.057651,30.67383]"
1,10:18,0,1,"[104.057651,30.67383],[104.053237,30.646505]"
2,11:14,A,2,"[103.955542,30.569893],[103.994865,30.649418]"
3,11:39,A,3,"[103.955542,30.569893],[104.053962,30.674086]"
4,12:55,A,4,"[103.955542,30.569893],[104.078304,30.657437]"
4,12:55,4,5,"[104.078304,30.657437],[104.084367,30.696078]"
5,13:46,A,6,"[103.955542,30.569893],[104.01362,30.64666]"
6,14:30,A,7,"[103.955542,30.569893],[104.07665,30.65986]"
7,14:59,A,8,"[103.955542,30.569893],[104.05283,30.68131]"
8,15:59,A,9,"[103.955542,30.569893],[104.042849,30.633738]"
9,17:05,A,10,"[103.955542,30.569893],[104.141625,30.62886]"
10,17:36,A,11,"[103.955542,30.569893],[104.058951,30.643685]"
11,17:58,A,12,"[103.955542,30.569893],[104.066565,30.612248]"
12,18:12,A,13,"[103.955542,30.569893],[104.06642,30.624537]"
13,20:23,A,14,"[103.955542,30.569893],[104.06962,30.66015]"
13,20:23,14,16,"[104.06962,30.66015],[104.060474,30.62651]"
14,20:23,A,15,"[103.955542,30.569893],[104.002619,30.653294]"
14,20:23,15,17,"[104.002619,30.653294],[104.077778,30.654769]"
15,21:07,A,18,"[103.955542,30.569893],[104.053891,30.66818]"
15,21:07,18,19,"[104.053891,30.66818],[104.027287,30.632327]"
16,21:20,A,20,"[103.955542,30.569893],[104.042952,30.654906]"
16,21:20,20,21,"[104.042952,30.654906],[104.091832,30.622495]"
17,21:46,A,22,"[103.955542,30.569893],[104.143974,30.628064]"
17,21:46,22,23,"[104.143974,30.628064],[104.065751,30.657453]"
18,22:11,A,24,"[103.955542,30.569893],[104.10337,30.60094]"
18,22:11,24,26,"[104.10337,30.60094],[104.05252,30.615756]"
19,22:12,A,25,"[103.955542,30.569893],[104.046359,30.527427]"
19,22:12,25,27,"[104.046359,30.527427],[104.067368,30.545046]"
20,22:29,A,28,"[103.955542,30.569893],[104.07553,30.652681]"
20,22:29,28,29,"[104.07553,30.652681],[104.029866,30.636913]"
20,22:29,29,31,"[104.029866,30.636913],[104.056091,30.661776]"
21,22:13,A,30,"[103.955542,30.569893],[104.053617,30.663833]"
22,22:39,A,32,"[103.955542,30.569893],[104.07773,30.656547]"
23,22:41,A,33,"[103.955542,30.569893],[104.058902,30.670086]"
23,22:41,33,34,"[104.058902,30.670086],[104.079342,30.656251]"
24,23:06,A,35,"[103.955542,30.569893],[104.08493,30.651925]"
24,23:06,35,36,"[104.08493,30.651925],[104.038652,30.603918]"
24,23:06,36,37,"[104.038652,30.603918],[104.103951,30.713386]"
24,23:06,37,38,"[104.103951,30.713386],[104.111817,30.711406]"
25,23:25,A,39,"[103.955542,30.569893],[104.073972,30.695568]"
25,23:25,39,40,"[104.073972,30.695568],[104.071246,30.591621]"
26,23:25,A,41,"[103.955542,30.569893],[104.06927,30.52827]"
27,23:36,A,42,"[103.955542,30.569893],[104.015689,30.651247]"
28,23:36,A,43,"[103.955542,30.569893],[104.071362,30.556128]"
29,23:46,A,44,"[103.955542,30.569893],[104.06899,30.66576]"
30,0:08,A,45,"[103.955542,30.569893],[104.011714,30.655637]"
30,0:08,45,47,"[104.011714,30.655637],[104.052029,30.675318]"
