carno,time,start,terminal,latlng
31,0:11,A,46,"[103.955542,30.569893],[104.05696,30.57472]"
32,0:12,A,48,"[103.955542,30.569893],[104.14078,30.62881]"
33,0:25,A,49,"[103.955542,30.569893],[104.046605,30.709158]"
33,0:25,49,50,"[104.046605,30.709158],[104.072594,30.666769]"
33,0:25,50,51,"[104.072594,30.666769],[104.086735,30.651399]"
34,0:43,A,52,"[103.955542,30.569893],[104.119337,30.610139]"
34,0:43,52,53,"[104.119337,30.610139],[104.052196,30.67722]"
35,0:48,A,54,"[103.955542,30.569893],[104.011298,30.695041]"
36,1:09,A,55,"[103.955542,30.569893],[104.139872,30.682812]"
36,1:09,55,56,"[104.139872,30.682812],[104.090021,30.647671]"
36,1:09,56,57,"[104.090021,30.647671],[104.041584,30.653032]"
37,1:10,A,58,"[103.955542,30.569893],[104.045867,30.673148]"
37,1:10,58,59,"[104.045867,30.673148],[104.083726,30.653334]"
37,1:10,59,60,"[104.083726,30.653334],[104.0433,30.684417]"
38,1:26,A,61,"[103.955542,30.569893],[104.048827,30.652994]"
39,1:31,A,62,"[103.955542,30.569893],[104.015558,30.642351]"
39,1:31,62,63,"[104.015558,30.642351],[104.086167,30.654578]"
39,1:31,63,64,"[104.086167,30.654578],[104.022406,30.678537]"
39,1:31,64,65,"[104.022406,30.678537],[104.02472,30.62919]"
40,1:31,A,66,"[103.955542,30.569893],[104.03712,30.63956]"
41,1:47,A,67,"[103.955542,30.569893],[104.019548,30.694275]"
41,1:47,67,68,"[104.019548,30.694275],[104.078036,30.65792]"
42,1:46,A,69,"[103.955542,30.569893],[104.08652,30.66134]"
42,1:46,69,70,"[104.08652,30.66134],[104.072553,30.670975]"
43,1:58,A,71,"[103.955542,30.569893],[104.051227,30.53137]"
44,1:57,A,72,"[103.955542,30.569893],[104.06353,30.62944]"
45,2:04,A,73,"[103.955542,30.569893],[104.108307,30.622849]"
45,2:04,73,74,"[104.108307,30.622849],[104.077368,30.633977]"
45,2:04,74,75,"[104.077368,30.633977],[104.141625,30.62886]"
46,2:20,A,76,"[103.955542,30.569893],[104.101906,30.663195]"
47,2:29,A,77,"[103.955542,30.569893],[104.0052,30.627283]"
47,2:29,77,80,"[104.0052,30.627283],[104.085828,30.607707]"
48,2:40,A,78,"[103.955542,30.569893],[104.042138,30.684551]"
48,2:40,78,79,"[104.042138,30.684551],[104.058616,30.539705]"
49,2:39,A,81,"[103.955542,30.569893],[104.02472,30.62919]"
49,2:39,81,82,"[104.02472,30.62919],[104.027434,30.697177]"
49,2:39,82,83,"[104.027434,30.697177],[104.053627,30.612278]"
50,3:05,A,84,"[103.955542,30.569893],[104.14078,30.62881]"
50,3:05,84,85,"[104.14078,30.62881],[104.106125,30.686346]"
51,3:04,A,86,"[103.955542,30.569893],[104.048143,30.666185]"
